link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/pista-heavyweight-oversized-t-shirt/,Pista Green Heavyweight Oversized T-Shirt,₹899.00,₹599.00,100% Cotton,210,
https://www.bonkerscorner.com/product/blue-plaid-flannel-oversized-shirt-2/,Blue Plaid Flannel Oversized Shirt,₹1699.00,"₹1,199.00",100% cotton,200,
https://www.bonkerscorner.com/product/musty-plum-striped-oversized-t-shirt/,Musty Plum Striped Heavyweight Oversized T-Shirt,₹899.00,₹599.00,100% Cotton,210,
https://www.bonkerscorner.com/product/signature-skater-boy-oversized-t-shirt/,Signature Skater Boy Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/grey-spidy-oversized-t-shirt-2/,Grey Spidy Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/flying-saucer-oversized-t-shirt-2/,Flying Saucer Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/xo-oversized-t-shirt-2/,XO Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/no-cap-oversized-t-shirt-2/,No Cap Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/poker-face-oversized-t-shirt-2/,Poker Face Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/poker-face-oversized-t-shirt-2/,Poker Face Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/dead-end-street-oversized-t-shirt-2/,Dead End Street Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/head-banger-oversized-t-shirt-2/,Head Banger Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/hoop-oversized-t-shirt-2/,Hoop Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/slash-oversized-t-shirt-2/,Slash Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/black-spidy-oversized-t-shirt-2/,Black Spidy Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/staycation-oversized-t-shirt-2/,Staycation Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/hard-cash-oversized-t-shirt-2/,Hard Cash Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/skrt-oversized-t-shirt-2/,Skrt Oversized T-Shirt,₹949.00,₹649.00,100% premium cotton,180,
